Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt6823368,2018-09-03,2019-07-07,"Release date - January 18th
Studio - Universal Pictures
Global Box Office - $246m",Glass,https://www.imdb.com/title/tt6823368/,movie,6.7,129,2019,"Drama, Sci-Fi, Thriller",150546,2019-01-07,M. Night Shyamalan
2,tt6811018,2018-09-03,2019-07-07,"Release date - January 25th
Studio - Twentieth Century Fox
Global Box Office - $32m",The Kid Who Would Be King,https://www.imdb.com/title/tt6811018/,movie,6.0,120,2019,"Action, Adventure, Family, Fantasy",9512,2019-01-16,Joe Cornish
3,tt5941692,2018-11-18,2019-07-07,"Release date - February 1st
Studio - Sony Pictures
Global Box Office - $15m",Miss Bala,https://www.imdb.com/title/tt5941692/,movie,5.6,104,2019,"Action, Crime, Drama, Thriller",4612,2019-01-25,Catherine Hardwicke
4,tt3513498,2018-09-03,2019-07-07,"Release date - February 8th
Studio - Warner Brothers Animation
Global Box Office - $191m",The Lego Movie 2: The Second Part,https://www.imdb.com/title/tt3513498/,movie,6.7,107,2019,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical",36374,2019-02-06,Mike Mitchell
5,tt7634968,2018-09-03,2019-07-07,"Release date - February 8th
Studio - Paramount
Global Box Office - $72m",What Men Want,https://www.imdb.com/title/tt7634968/,movie,5.1,117,2019,"Comedy, Fantasy, Romance",12466,2019-01-10,Adam Shankman
6,tt0437086,2018-10-04,2019-07-07,"Release Date - February 14th 2019
Studio - Twentieth Century Fox
Global Box Office - $404m",Alita: Battle Angel,https://www.imdb.com/title/tt0437086/,movie,7.4,122,2019,"Action, Adventure, Sci-Fi, Thriller",145834,2019-02-05,Robert Rodriguez
7,tt6513120,2018-09-03,2019-07-07,"Release date - February 14th
Studio - Metro-Goldwyn-Mayer
Global Box Office - $39m",Fighting with My Family,https://www.imdb.com/title/tt6513120/,movie,7.1,108,2019,"Biography, Comedy, Drama, Sport",36718,2019-01-28,Stephen Merchant
8,tt2452244,2018-09-03,2019-07-07,"Release date - February 14th
Studio - Warner Brothers/Netflix
Global Box Office - $48m",Isn't It Romantic,https://www.imdb.com/title/tt2452244/,movie,5.9,89,2019,"Comedy, Fantasy, Romance",46407,2019-02-11,Todd Strauss-Schulson
9,tt8155288,2019-02-08,2019-07-07,"Release date - February 14th
Studio - Universal Pictures/Blumhouse
Global Box Office - $64m",Happy Death Day 2U,https://www.imdb.com/title/tt8155288/,movie,6.2,100,2019,"Comedy, Horror, Mystery, Sci-Fi, Thriller",34560,2019-02-13,Christopher Landon
10,tt2386490,2018-09-03,2019-07-07,"Release date - February 22nd
Studio - Universal Pictures/Dreamworks Animation
Global Box Office - $519m",How to Train Your Dragon: The Hidden World,https://www.imdb.com/title/tt2386490/,movie,7.5,104,2019,"Animation, Action, Adventure, Comedy, Family, Fantasy",70772,2019-01-03,Dean DeBlois
11,tt7054636,2018-09-03,2019-07-07,"Release date - March 1st
Studio - Lionsgate
Global Box Office - $74m",A Madea Family Funeral,https://www.imdb.com/title/tt7054636/,movie,4.3,109,2019,Comedy,2613,2019-02-28,Tyler Perry
12,tt4154664,2018-09-03,2019-07-07,"Release date - March 8th
Studio - Disney/Marvel Studios
Global Box Office - $1.128 billion",Captain Marvel,https://www.imdb.com/title/tt4154664/,movie,7.0,123,2019,"Action, Adventure, Sci-Fi",346696,2019-02-27,"Anna Boden, Ryan Fleck"
13,tt4975920,2019-02-08,2019-07-14,"Release date - March 8th
Studio - Lionsgate
Global Box Office - $1.5m",The Kid,https://www.imdb.com/title/tt4975920/,movie,5.9,100,2019,"Biography, Drama, Western",3193,2019-03-08,Vincent D'Onofrio
14,tt6428676,2018-09-03,2019-07-14,"Release date - March 15th
Studio - Paramount
Global Box Office - $119m",Wonder Park,https://www.imdb.com/title/tt6428676/,movie,5.8,85,2019,"Animation, Adventure, Comedy, Family, Fantasy",5444,2019-03-13,Dylan Brown
15,tt6866224,2019-02-27,2019-07-14,"Release date - March 15th
Studio - 
Global Box Office - $560k",The Hummingbird Project,https://www.imdb.com/title/tt6866224/,movie,6.2,111,2018,Thriller,5178,2018-09-08,Kim Nguyen
16,tt5977276,2018-11-18,2019-07-14,"Release date - March 15th
Studio - Fox Searchlight
Global Box Office - $9m",The Aftermath,https://www.imdb.com/title/tt5977276/,movie,6.3,108,2019,"Drama, Romance, War",7600,2019-02-26,James Kent
17,tt6857112,2018-09-03,2019-07-14,"Release date - March 22nd
Studio - Universal Pictures/Blumhouse
Global Box Office - $254m",Us,https://www.imdb.com/title/tt6857112/,movie,7.0,116,2019,"Horror, Mystery, Thriller",139518,2019-03-08,Jordan Peele
18,tt5461944,2019-02-27,2019-07-14,"Release date - March 22nd
Studio - 
Global Box Office - $17m",Hotel Mumbai,https://www.imdb.com/title/tt5461944/,movie,7.6,123,2018,"Drama, History, Thriller",26524,2018-09-07,Anthony Maras
19,tt3861390,2018-09-03,2019-07-07,"Release date - March 29th
Studio - Walt Disney Pictures
Global Box Office - $354m",Dumbo,https://www.imdb.com/title/tt3861390/,movie,6.4,112,2019,"Adventure, Family, Fantasy",42226,2019-03-11,Tim Burton
20,tt6511932,2018-11-18,2019-07-14,"Release date - March 29th
Studio - Riverstone Pictures
Global Box Office - $4.3m",The Beach Bum,https://www.imdb.com/title/tt6511932/,movie,5.6,95,2019,Comedy,9353,2019-03-09,Harmony Korine
21,tt0448115,2018-09-03,2019-07-07,"Release date - April 5th
Studio - Warner Brothers
Global Box Office - $364m",Shazam!,https://www.imdb.com/title/tt0448115/,movie,7.2,132,2019,"Action, Adventure, Comedy, Fantasy",165285,2019-03-25,David F. Sandberg
22,tt0837563,2018-09-03,2019-07-14,"Release date - April 5th
Studio - Paramount
Global Box Office - $112m",Pet Sematary,https://www.imdb.com/title/tt0837563/,movie,5.8,101,2019,"Horror, Mystery, Thriller",53028,2019-03-16,"Kevin Kölsch, Dennis Widmyer"
23,tt4807408,2019-02-27,2019-07-14,"Release date - April 5th 
Studio - Astute Films
Global Box Office - $10m",The Best of Enemies,https://www.imdb.com/title/tt4807408/,movie,6.9,133,2019,"Biography, Drama, History",3414,2019-04-05,Robin Bissell
