_id,title,rotten_score
"ObjectId(""5d718c0f396e178cb36a3d16"")",Glass,37
"ObjectId(""5d718c0f396e178cb36a3d17"")",The Kid Who Would Be King,89
"ObjectId(""5d718c0f396e178cb36a3d18"")",Miss Bala,23
"ObjectId(""5d718c0f396e178cb36a3d19"")",The Lego Movie 2: The Second Part,85
"ObjectId(""5d718c0f396e178cb36a3d1a"")",What Men Want,44
"ObjectId(""5d718c0f396e178cb36a3d1b"")",Alita: Battle Angel,60
"ObjectId(""5d718c0f396e178cb36a3d1c"")",Fighting with My Family,92
"ObjectId(""5d718c0f396e178cb36a3d1d"")",Isn't It Romantic,69
"ObjectId(""5d718c0f396e178cb36a3d1e"")",Happy Death Day 2U,70
"ObjectId(""5d718c0f396e178cb36a3d1f"")",How to Train Your Dragon: The Hidden World,91
"ObjectId(""5d718c0f396e178cb36a3d20"")",A Madea Family Funeral,12
"ObjectId(""5d718c0f396e178cb36a3d21"")",Captain Marvel,78
"ObjectId(""5d718c0f396e178cb36a3d22"")",The Kid,NA
"ObjectId(""5d718c0f396e178cb36a3d23"")",Wonder Park,34
"ObjectId(""5d718c0f396e178cb36a3d24"")",The Hummingbird Project,58
"ObjectId(""5d718c0f396e178cb36a3d25"")",The Aftermath,27
"ObjectId(""5d718c0f396e178cb36a3d26"")",Us,93
"ObjectId(""5d718c0f396e178cb36a3d27"")",Hotel Mumbai,77
"ObjectId(""5d718c0f396e178cb36a3d28"")",Dumbo,47
"ObjectId(""5d718c0f396e178cb36a3d29"")",The Beach Bum,56
"ObjectId(""5d718c0f396e178cb36a3d2a"")",Shazam!,91
"ObjectId(""5d718c0f396e178cb36a3d2b"")",Pet Sematary,58
"ObjectId(""5d718c0f396e178cb36a3d2c"")",The Best of Enemies,53
"ObjectId(""5d718c0f396e178cb36a3d2d"")",Hellboy,17
"ObjectId(""5d718c0f396e178cb36a3d2e"")",Little,46
"ObjectId(""5d718c0f396e178cb36a3d2f"")",Missing Link,89
"ObjectId(""5d718c0f396e178cb36a3d30"")",The Curse of La Llorona,30
"ObjectId(""5d718c0f396e178cb36a3d31"")",Avengers: Endgame,94
"ObjectId(""5d718c0f396e178cb36a3d32"")",UglyDolls,27
"ObjectId(""5d718c0f396e178cb36a3d33"")",Long Shot,81
"ObjectId(""5d718c0f396e178cb36a3d34"")",Pokémon Detective Pikachu,68
"ObjectId(""5d718c0f396e178cb36a3d35"")",The Hustle,14
"ObjectId(""5d718c0f396e178cb36a3d36"")",Tolkien,51
"ObjectId(""5d718c0f396e178cb36a3d37"")",John Wick: Chapter 3 - Parabellum,90
"ObjectId(""5d718c0f396e178cb36a3d38"")",A Dog's Journey,50
"ObjectId(""5d718c0f396e178cb36a3d39"")",Aladdin,57
"ObjectId(""5d718c0f396e178cb36a3d3a"")",Brightburn,57
"ObjectId(""5d718c0f396e178cb36a3d3b"")",Booksmart,97
"ObjectId(""5d718c0f396e178cb36a3d3c"")",Godzilla: King of the Monsters,41
"ObjectId(""5d718c0f396e178cb36a3d3d"")",Rocketman,89
"ObjectId(""5d718c0f396e178cb36a3d3e"")",Dark Phoenix,23
"ObjectId(""5d718c0f396e178cb36a3d3f"")",The Secret Life of Pets 2,60
"ObjectId(""5d718c0f396e178cb36a3d40"")",Men in Black: International,22
"ObjectId(""5d718c0f396e178cb36a3d41"")",Shaft,32
"ObjectId(""5d718c0f396e178cb36a3d42"")",Toy Story 4,97
"ObjectId(""5d718c0f396e178cb36a3d43"")",Child's Play,64
"ObjectId(""5d718c0f396e178cb36a3d44"")",Annabelle Comes Home,65
"ObjectId(""5d718c0f396e178cb36a3d45"")",Yesterday,63
"ObjectId(""5d718c0f396e178cb36a3d46"")",Spider-Man: Far from Home,90
"ObjectId(""5d718c0f396e178cb36a3d47"")",Stuber,42
"ObjectId(""5d718c0f396e178cb36a3d48"")",Crawl,82
"ObjectId(""5d718c0f396e178cb36a3d49"")",The Farewell,99
"ObjectId(""5d718c0f396e178cb36a3d4a"")",The Art of Self-Defense,83
"ObjectId(""5d718c0f396e178cb36a3d4b"")",The Lion King,52
"ObjectId(""5d718c0f396e178cb36a3d4c"")",Once Upon a Time ... in Hollywood,85
"ObjectId(""5d718c0f396e178cb36a3d4d"")",Fast & Furious Presents: Hobbs & Shaw,67
"ObjectId(""5d718c0f396e178cb36a3d4e"")",Scary Stories to Tell in the Dark,79
"ObjectId(""5d718c0f396e178cb36a3d4f"")",Dora and the Lost City of Gold,83
"ObjectId(""5d718c0f396e178cb36a3d50"")",The Kitchen,21
"ObjectId(""5d718c0f396e178cb36a3d51"")",The Art of Racing in the Rain,43
